site_number,site_name,latitude,longitude
08165300,"N Fk Guadalupe Rv nr Hunt, TX",30.06410028,-99.3870175
08165500,"Guadalupe Rv at Hunt, TX",30.06993074,-99.3217122
08166140,"Guadalupe Rv abv Bear Ck at Kerrville, TX",30.06965617,-99.1953454
08166200,"Guadalupe Rv at Kerrville, TX",30.053266,-99.163375
08166250,"Guadalupe Rv nr Center Point, TX",29.98777778,-99.11
08167000,"Guadalupe Rv at Comfort, TX",29.96523889,-98.8971667
08167200,"Guadalupe Rv at FM 474 nr Bergheim, TX",29.89358333,-98.6698333
08167500,"Guadalupe Rv nr Spring Branch, TX",29.8604957,-98.3836275
08167800,"Guadalupe Rv at Sattler, TX",29.85910758,-98.1800106
08167900,"Guadalupe Rv at Third Crossing nr Sattler, TX",29.80368889,-98.1630889
08168500,"Guadalupe Rv abv Comal Rv at New Braunfels, TX",29.7149465,-98.1100083
08169500,"Guadalupe Rv at New Braunfels, TX",29.69800265,-98.1066748
08169740,"Guadalupe Rv at Hwy 123-BR at Seguin, TX",29.55140833,-97.9693806
08169792,"Guadalupe Rv at FM 1117 nr Seguin, TX",29.53616667,-97.8809444
08169845,"Guadalupe Rv at CR 143 nr Gonzales, TX",29.4876,-97.5875056
08173900,"Guadalupe Rv at Gonzales, TX",29.48440414,-97.4502702
08174700,"Guadalupe Rv at Hwy 183 nr Hochheim, TX",29.31446667,-97.3035
08175800,"Guadalupe Rv at Cuero, TX",29.09053147,-97.3297129
08176500,"Guadalupe Rv at Victoria, TX",28.7930456,-97.0130429
08177520,"Guadalupe Rv nr Bloomington, TX",28.66194444,-96.9652778
08188800,"Guadalupe Rv nr Tivoli, TX",28.50582149,-96.8847203
08188810,"Guadalupe Rv at SH 35 nr Tivoli, TX",28.4783224,-96.8627751
